Schwierigkeit	Frage	DAS	B	C	D	Antworten	Kategorie
1	Was fur einen "Outlaw" nennst du einen ungezogenen Mann, der Frauen beschimpft?	Bitumen	Zement	Asphalt	Gips	C	SPRACHE
2	Wie hiess der beruhmte Film von Kevin Costner? "Mit Wolfen ..."	Treiber	Beschleunigung	Tanzen	vertraumt	C	FILM
3	Wo ist der Geist, der Aladdin dient, eingesperrt?	in einen Schrank	in eine Lampe	in einen Harem	in eine Dose	B	LITERATUR
4	Wie entscheiden Schachspieler, wer den Eroffnungszug ausfuhrt?	immer das Dunkel	nach Vereinbarung	immer das Licht	indem man Geld wirft	C	SPIEL
5	Huta ist ein Fachbegriff, der zu welchem Beruf gehort?	Barbier	Gerber	Metallurg	er ist heiss	C	SPRACHE
6	Wie lautet die Abkurzung der UN World Health Organization?	UNESCO	WER	UNICEF	FAO	B	ALLGEMEINES
7	Welche Pflanze wurde turkischer Weizen genannt?	die Gerste	die Haferflocken	Der Mais	der Hopfen	C	BIOLOGIE
8	Wo lasst sich Mihaly Tímar, der goldene Mann, am Ende des Jokai-Romans nieder?	auf der Insel Csepel	auf der Insel Mohacs	auf der Insel No Man	auf der Insel der Seligen	C	LITERATUR
9	Welcher der aufgefuhrten Komponisten hat nie eine Oper geschrieben?	Bizet	Bellini	Brahms	Beethoven	C	OPER
10	In welcher Sportart haben wir unsere erste Europameisterschaft gewonnen?	Rudern	im Eiskunstlauf	beim Schwimmen	beim Boxen	B	SPORT
1	Welches Tier hat Eva dazu verleitet, sich von der Frucht des verbotenen Baumes zu trennen?	Esel	Rabe	Schlange	Kamel	C	RELIGION
2	Auf welche Art von Axtstiel beziehen wir uns, wenn wir uns auf einen nicht zu rettenden Fall beziehen?	gebrochen	gefunden	ausgebildet	verirrt	D	SPRACHE
3	Wen stellt die bekannteste Skulptur von Miklos Izso dar?	nachdenklicher Mann	Gulasch	Flotter Hirte	meckernder Hirte	D	BILDENDE KUNST
4	Welche Stadt hiess fruher New Amsterdam?	Canberra	Buenos Aires	Los Angeles	New York	D	LaNDER
1	Welchen Korperteil trifft die Person, die mit jemandem arger bekommt?	Sitz	Knochel	deine Knie	seine Zehe	B	ALLGEMEINES
2	Welche der folgenden Gegenstande erhalt die Person, der ein blauer Franken uberreicht wird?	Franzosische Munze	Rotwein	Kleidungsstoff	Tinte	B	SPRACHE
3	Wie war der romische Name von Danubius?	Fur Buda	Fur Schadling	zur Donau	nach Balaton	C	GESCHICHTE
4	Welche ungarische Sangerin hat "I'm not a nonne" geschrieben und gesungen?	Zalatnay Sarolta	Judit Szucs	Kati Kovacs	Zsuzsa Cserhati	A	MUSIK
5	Welcher der folgenden Filme ist kein Horrorfilm?	Glanz	Omen	Salem-Hexen	Der Code	C	FILM
6	Welches Ministeramt hatte Gabor Baross inne?	offentliche Arbeiten und Verkehr	Kriegsminister	Aussenminister	Gesundheitspflege	A	GESCHICHTE
7	Wer unter den Aufgefuhrten ist kein Barockkomponist?	Vivaldi	Grieg	JS Bach	Purcell	B	OPER
8	Welche der folgenden Zutaten ist keine Zutat von Baby-Biskuitkuchen?	Mehl	Ei	Milch	Zucker	C	KuCHE
9	Wo fanden 1924 die ersten Olympischen Winterspiele statt?	Grenoble	St.Moritz	Lake Placid	Chamonix	D	SPORT
1	Was ist der alte Ausruf? "Herr von Eb…!"	Ketsch	Mako	Jacke	blass	D	SPRACHE
2	Wofur nutzen Eskimos ein Iglu?	fur die Jagd	sie kochen darin	zum Skifahren	sie leben darin	D	ALLGEMEINES
3	Wer ist der Hauptgott in der romischen Mythologie?	Mars	Jupiter	Pluto	Zeus	B	RELIGION
4	Welches Organ produziert Galle?	Niere	Leber	Schritt	Lunge	B	BIOLOGIE
5	Welche Operette wurde von jr. Johann Strauss nach einem Werk von Jokai?	Der Zigeunerbaron	Die Fledermaus	Eine Nacht in Venedig	Zigeunerliebe	A	OPER
6	Was ist der Ursprung der hervorragenden Musikerbruder Dusan und Zoran Sztevanovity?	kroatisch	Slowenisch	serbisch	slowakisch	C	MUSIK
7	Welcher Schauspieler war der "grosse blonde Mann mit den halben Schuhen"?	Terence Hill	Ludwig von Funes	Pierre Richard	Yves Montand	C	FILM
8	An wie vielen Olympischen Spielen hat das ungarische Team nicht teilgenommen?	Individuell	auf zwei	auf drei	nahmen an allen teil	B	SPORT
1	Was lasst jemand, der geht, plotzlich zuruck?	Haus, Land	tippen, Priester	Hafer, Bohnen	Ranch, Banja	B	SPRACHE
2	Zu welcher Erfindung hat die Distel inspiriert?	Zellulose	Klettverschluss	Morgenstern	Nadelkissen	B	TECHNIK
3	Welches Instrument spielte Charles Bronson im Western Es war einmal im Wilden Westen?	auf Banjo	TamTam	Mundharmonika	auf der Laute	C	FILM
4	Die Wahrung welcher der folgenden Lander ist der Rappen?	Belgien	agypten	Finnland	Bulgarien	A	LaNDER
5	In welchem musikalischen Buhnenwerk ist der Liedanfang "If I were rich…" zu horen?	Bettleroper	Geiger auf dem Dach	Sie waren unglucklich	Porgy und bess	B	OPER
6	Was fur ein Tier ist dein Ball?	weibliche Ziege	mannliches Lamm	kleiner Schwanz	kleines Huhn	A	BIOLOGIE
7	Welches Land ist weltweit fuhrend in der Kaffeeproduktion?	athiopien	Brasilien	Mexiko	Venezuela	B	LaNDER
8	Welche englische Fussballmannschaft tragt den Spitznamen "The Gunners"?	Manchester United	Arsenal	Aston Villa	Liverpool	B	SPORT
9	Wo ausser den USA wurde noch die Unabhangigkeitserklarung abgegeben?	in England	in Frankreich	in Finnland	in Ungarn	D	GESCHICHTE
1	Wie lernt man den anderen nach dem Sprichwort kennen?	Leben	satt	mit einem Privatdetektiv	in seinem Schlaf	A	SPRACHE
2	Aus wie vielen Sternen besteht das im Volksmund Goncolszeker genannte Sternbild?	funf	sechs	Sieben	acht	C	ALLGEMEINES
3	Wie lautet der Titel von Katayevs beruhmtem Roman? "Weit weg ein ..."	roter Partisan	weisses Segel	Herr Troika	Nickel-Samowar	B	LITERATUR
4	Wer wusch sich laut Bibel die Hande, als Jesus verurteilt wurde?	Pontius Pilatus	Ein Feinschmecker	Judas	Herodes	A	RELIGION
1	Wie geht es mit dem bekannten Kinderreim: "Ecc-pecc…" weiter?	du kannst ruber kommen	du kannst dich setzen	Du kannst raus gehen	Du kannst essen	C	LITERATUR
2	Wie lautet der Titel des uberaus erfolgreichen ungarischen Films: "Love..."	zum ersten Blut	fur eine weitere Woche	unter der Fussmatte	zu Engelshaut	A	FILM
3	Vervollstandigen Sie das Petofi-Zitat! "… ich brauche diese beiden."	Revolution, Herrlichkeit!	Liebe Freiheit!	Waffe, Alter!	Ehe, Frieden!	B	LITERATUR
4	"Er hat, was hat er?" Nach dem Lied von Fenyes Szabolcs?	Piss-Nase	kussbare Lippen	Fluffiges Haar	Herz aus Gold	C	MUSIK
5	Die Fachbegriffe fur welche Sportart sind Opening, Dropping und Barricading?	Basketball	Volleyball	Schach	Tennis	B	SPORT
6	Welche der folgenden Bezeichnungen haben Sie den Duker der Umgangssprache genannt?	Schnurrbart Krawatte	Pfeifenstielschnupfen	Tabakblatt	Pferdepflegeburste	B	SPRACHE
7	Wer hat an der Madrasa studiert?	reformierte Studenten	Pariser Mediziner	buddhistische Monche	Muslimische Studenten	D	SPRACHE
8	Welches psychologische Konzept steckt im Titel von Camus' bekanntem Roman?	Apathie	Stupor	Gleichgultigkeit	vertrauen	C	LITERATUR
9	Welche historische Figur wurde von seinen Zeitgenossen il Magnifico genannt?	Lorenzo de' Medici	II. Viktor Emanuel	Francesco Petraca	Giuseppe Verdi	A	GESCHICHTE
10	Wer waren die "Bajazzos" in Leoncavallos Oper?	Hofmusiker	Fischer	reisende Komiker	Goldschmuggler	C	OPER
1	Was tut jemand, der ein Problem ubertreibt?	ein Elefant von einem Floh	Ziegenkohl	holzerner Eisenreifen	von einer Ameise bis zu einem Mammut	A	SPRACHE
2	Als was fur einen "Bart" werden notorische Frauenhelden bezeichnet?	Steinbock	Schwarz	blau	Ziege	C	SPRACHE
3	Wer hat den Zauberwurfel erfunden?	Janos Harsanyi	Erno Rubik	Robert Lamm	Olah Gyorgy	B	SPIEL
4	Welches Land ist San Marinos einziger Nachbar?	Frankreich	Spanien	Italien	Schweiz	C	ERDKUNDE
5	In welcher Oper gibt es unter anderem ein wunderschones Zigeunermadchen, einen Stierkampfer und einen Korporal?	Verdi: Der Troubadour	Puccini: Toska	Verdi: Traviata	Bizet: Carmen	D	OPER
6	Prospero ist der Protagonist in welchem Stuck?	Der Geizhals	Der Sturm	Antigones	Phadra	B	LITERATUR
7	Wo ist der ehemalige Sandor-Palast?	im Schloss Visegrad	auf Varhegy in Buda	im Schloss Eger	in der Burg von Siklos	B	UNGARN
8	Was fur einen Arzt sieht jemand, der zu einem Dermatologen geht?	zu einem Zahnarzt	zu einem Dermatologen	zu einem Augenarzt	zu einem Gynakologen	B	BIOLOGIE
1	Wie nannte der Volksmund einen Mann mit ungepflegter Kleidung?	Nase fiel	abgezweigt	vom Pferd gefallen	er schlief	B	SPRACHE
2	Welche Art von Kulturgemuse hat den Namen "bogyszlo dickfleischig"?	Erbse	Kohl	Paprika	Gurke	C	KuCHE
3	Wer waren nicht sieben der folgenden Filmfiguren?	Schneewittchens Zwerge	Die Musketiere von Dumas	Kurosawas Samurai	Scharfschutzen von Sturges	B	FILM
4	Welche Band hat 1968 uber Lady Madonna gesungen?	Biene Gees	Beatles	Rollende Steine	Wer	B	MUSIK
5	Welche Innovation haben die Michelin-Bruder in das Auto eingefuhrt?	der Sicherheitsgurt	die Trommelbremse	der Boxermotor	der Reifen	D	TECHNIK
6	Wer bekampft den Drachen in der einzigen erhaltenen Statue der Cluj-Bruder?	St. Georg	Heiliger Markus	Heiliger Wenzel	Heiliger Florian	A	BILDENDE KUNST
7	Welche der aufgefuhrten Gebirgszuge gehort nicht zum Nordlichen Mittelgebirge?	Samling	Buche	Geldbeutel	Gerecce	D	ERDKUNDE
8	Welches der folgenden Lander hat keine Trikolore?	Tschechische Republik	Luxemburg	Irland	Polen	D	LaNDER
9	Die Szene am Ufer der Theiss ist ein dramatischer Teil welcher ungarischen Oper?	Laszlo Hunyadi	Schloss des Blaubartprinzen	Entschuldigung	Das neue Outfit von King Pomade	C	OPER
1	Wie heisst ein Transportmittel?	gleiten	Klettern	Segelflugzeug	kriechen	C	ALLGEMEINES
2	Weiter so mit dem Spruch! "Kein Geld, nein..."	Abendessen	Post	Frieden	Frau	B	SPRACHE
3	Welche Naturkatastrophe wird in der Bibel mit Noahs Namen in Verbindung gebracht?	Erdbeben	Vulkanausbruch	Feuer	Flut	D	RELIGION
4	Welches Gericht heisst Bratkartoffeln?	Kartoffeleintopf	Kartoffelauflauf	Pfeffer Pommes	Pommes sind heiss	C	KuCHE
5	Troja liegt auf dem Territorium welchen heutigen Landes?	Truthahn	Syrien	Zypern	Griechenland	A	GESCHICHTE
6	Welches Land regierte Kaiser Hirohito?	in China	in athiopien	in Japan	in Indonesien	C	GESCHICHTE
7	Wer war Dantes Muse?	Laura	Beatrice	Dicker Rand	Lucrezia	B	LITERATUR
8	An welcher Universitat war Albert Szent-Gyorgyi als Professor tatig, als er den Nobelpreis erhielt?	aus Szeged	aus Budapest	Oxford	von Cambridge	A	WISSENSCHAFT
9	In welchem Fellini-Film spielte Marcello Mastroianni nicht mit?	Das susse Leben	Ingwer und Fred	Auf einer Landstrasse	8 einhalb	C	FILM
10	Wer hat das Russische Ballett gegrundet?	Sergej Gjagilew	Michail Fokin	Igor Strawinsky	Vaclav Nizhinsky	A	KUNST
1	Womit befasst sich ein Botaniker nicht?	mit Gras	mit Holz	mit Wildblumen	mit einer Wildkatze	D	BIOLOGIE
2	Welche Stadt steht im Namen des Autors von "Word of the Wild"?	Manchester	London	Boston	Milwaukee	B	LITERATUR
3	uber welche Art von Reise hat Gabor Presser im Film Never Die gesungen?	auf der ganzen Welt	gross	gratis	Herr	B	FILM
4	Nach wessen Planen wurde die erste heimische elektrifizierte Eisenbahnlinie gebaut?	Kalman Kando	Abraham Ganz	Dona behandeln	Anyos Jedlik	A	UNGARN
5	Wie hiess der Beamte an der Spitze der ungarischen Komitate im Mittelalter?	Kastellan	Spanier	Diener	Ritter	B	GESCHICHTE
6	Wo sitzt der Jager im Gedicht Szep Ilonka in einem langen, traurigen Hinterhalt?	in Matra	in Bakony	in Pilis	in Vertes	D	LITERATUR
7	Aus welchem Abschnitt des Kalbes kauft derjenige eine Rose?	von seinem Oberschenkel	aus seiner Brust	aus dem Hack	aus dem Filet	A	KuCHE
8	Welche Barenart wird Grizzly genannt?	der schwarze Bar	der Grizzlybar	der goldene Bar	der Polarbar	B	BIOLOGIE
9	In welcher Sprache wurde das Neue Testament geschrieben?	griechisch	Arabisch	Latein	hebraisch	A	RELIGION
10	In welchem Land heisst das Mittelgebirge Vogesen?	in Frankreich	in Deutschland	in Schweden	in der Tschechischen Republik	A	ERDKUNDE
11	In welcher Band trat der beliebte Komiker Miklos Galla auf?	Nautilus	AG 49	V’73	Ikarus	D	MUSIK
1	Was fur einen Brief schreibt jemand, der einen Umweg macht, um irgendwohin zu kommen?	Schuster	Schuster	Schmied	Barbier	B	SPRACHE
2	Was ist nach den Regeln der Etikette zu tun, wenn jemand ein Geschenk erhalt?	Zuruckgeben	entfalten	weitergeben	ungeoffnet hinstellen	B	ALLGEMEINES
3	Welches Wirtschaftsgebaude hat den gleichen Namen wie ein Brettspiel?	Pressehaus	Muhle	hoch	Hausbar	B	SPIEL
4	Welcher beruhmte Detektiv untersucht den Filmklassiker Mord im Orient-Express?	Sherlock Holmes	Philipp Marlowe	Hercule Poirot	Sam Spade	C	FILM
5	Wer war adam Beri Balogh ein Zeitgenosse?	Sandor Petofi	Dozsa Gyorgy	II. Ferenc Rakoczi	Robert Karoly	C	GESCHICHTE
6	Welche antike Stadt wurde durch einen Vulkanausbruch zerstort?	Alexandria	Herkulaneum	Syrakus	Karthago	B	GESCHICHTE
7	Wie heisst der letzte Film von Sergio Leone: "Es war einmal …"	wilder Westen	Familie	Amerika	Cowboy	C	FILM
8	Wo waren die Olympischen Winterspiele 1998?	in Calgary	in Lillehammer	In Nagano	in Albertville	C	SPORT
9	"Romeo and Juliet" und "Sultans Of Swing" sind die Platten welcher britischen Band?	Genesis	Dire Straits	Ja	Pink Floyd	B	MUSIK
10	Welches der folgenden ist kein Edelmetall?	Platin	Nickel	Osmium	Ruthenium	B	WISSENSCHAFT
11	Wie lautet Al Capones Spitzname fur "Al"?	Alfred	Alfons	Alan	Alec	B	ALLGEMEINES
12	Von wem stammte Ferenc Kolcseys Familie ab?	Von Anfuhrer Ond	Von Janos Hunyadi	Von Prinz arpad	BOGEN. Von Bela	A	LITERATUR
1	Was passiert mit der sehr uberraschenden Person?	Deine Lippen sind trocken	Kiefer fallt	ihr Haar fallt aus	seine Augen sind blutunterlaufen	B	ALLGEMEINES
2	Welches Tier kann Schwertflugel haben?	Goldener Adler	karierte Armee	Schwertfisch	Delfin	D	BIOLOGIE
3	Wen verfolgt der Polizeiinspektor in Victor Hugos Les Miserables?	Quasimodo	Jean Valjean	Monte Christo	Edmont Dantes	B	LITERATUR
4	Wie heisst der alte Meister, der Pinocchio gemacht hat?	Giuseppe	Geppetto	Jovanni	Dzankarlo	B	LITERATUR
5	Welches Element hat das chemische Symbol "Pb"?	fuhren	Sie	Propan	Butan	A	WISSENSCHAFT
6	Aus welchem Teil des Rindfleisches besteht die Ochsenschwanzsuppe?	aus seinen Ohren	von ihrem Euter	von seinem Schwanz	aus deinen Nieren	C	KuCHE
7	Die Hauptfiguren welchen Films bewegen sich nicht im Weltall?	Armageddon	Der Globus	Interstellare Invasion	Die dunkle Bedrohung	B	FILM
8	Wo befindet sich das Tessedik Samuel Museum in Ungarn?	Mezokovesden	Auf Hirsch	An einem schlammigen Bach	oriszentpeter	B	UNGARN
9	Welcher der folgenden Komponisten hat keine Musik fur die Liebesgeschichte von Romeo und Julia geschrieben?	Tschaikowsky	Franz Liszt	Berlioz	Prokofjew	B	OPER
1	Wie hiess das Hotel, uber das er 1981 auf dem Album der Hungaria-Band sang?	Hotel Menthol	Hotel Anis	Hotel Ingwer	Hotel Nougat	A	MUSIK
2	Wie heisst die Rose der Pfingstrose?	Wassertaufe	Karneval	Ostern	Pfingsten	D	SPRACHE
3	Welches ist die grosste Insel in Griechenland?	Korfu	Hallo	Rhodos	Kreide	D	ERDKUNDE
4	Welcher der folgenden ist der Titel eines Werks von Istvan Fekete?	Ich bin eine Drossel	Sonniger Berek	Wintermutzen	Illa Berek	C	LITERATUR
5	Wie viele Komitate hat Ungarn?	15	19	22	25	B	ERDKUNDE
6	Was hiess fruher Kalk?	die Meise	die Ameise	ein Raummass	ein Langenmass	C	SPRACHE
7	Wo hat Sandor Petofi seine Flitterwochen verbracht?	In Venedig	Kolton	Aradon	Papst	B	LITERATUR
8	Wer hiess fruher Peregrinus?	die Beamten des Konigs	die Priesterschuler	die Schuler mit Migrationshintergrund	die Kopierer	C	SPRACHE
1	Wer ist nicht einer von Schneewittchens sieben Zwergen?	Knurren	niesen	Senden	Er ist ein Zwerg	D	LITERATUR
2	Was fur ein Auto kommt in dem bekannten Roman von Jeno Rejo vor?	eine Million Pfund	zweiundzwanzig Unzen	vierzehn Karat	siebentausend Kubikzentimeter	C	LITERATUR
3	uber was fur Haare hat die Band Omega in den 60ern gesungen?	Flachs	Perle	Verhaltnis	rot	B	MUSIK
4	Wer wird Hutkonig genannt?	Ferenc Jozsefet	BOGEN. Karl	II. Joseph	I. Lipot	C	GESCHICHTE
1	Wie ist ein Molch unter den folgenden?	es ist dumm	gekront	Schaukeln	geflochten	B	BIOLOGIE
2	Wie heisst der Film von Miklos Jancso uber Outlaws?	Der Gendarm tritt beiseite	Arme Jungs	Sandor Rozsa neckt den Polizisten	Laci, der Gesetzlose	B	FILM
3	Wie nennen die ostlichen Volker Bakshis?	uber Madchen im Teenageralter	susser Kuchen	Tipp	zweiradriger Wagen	C	SPRACHE
4	Wo soll Graf Dracula gelebt haben?	in Italien	Im Havasalfold	in Serbien	In Schottland	B	ALLGEMEINES
5	In welchem unserer Landkreise liegt der Velencei-See?	Pest	Kopf	Komarom-Esztergom	Veszprem	B	ERDKUNDE
6	Wessen Tod steht im Titel von Janos Aranys Werk?	Arpad	Buddha	Swatopluk	Er atmet	B	LITERATUR
7	Es ist bekannt, dass Neil Armstrong der erste Mensch war, der den Mond betrat, aber wer war der Zweite?	Michael Collins	Edwin Aldrin	John Glenn	Alexej Leonow	B	WISSENSCHAFT
1	Was ist ein anderer Name fur Deryle?	Schwager	Eselsohren	freundliches Ohr	Schweineschwanz	C	KuCHE
2	Wie heisst das beruhmte Schiff aus Tausendundeiner Nacht?	Dschafar	Sindbad	Aladdin	Ali Baba	B	LITERATUR
3	Welche Krankheit wird durch eine Storung der Insulinproduktion verursacht?	Anamie	Wolf Blindheit	Diabetes	Magengeschwur	C	BIOLOGIE
4	Was macht die Person, die fruher Friseur genannt wurde?	durch Erhaltung von Reliefs	mit Haarschnitt	mit Tiefenkuhlung	Gemuse verkaufen	B	SPRACHE
5	Bei welcher Auffuhrung konnen wir Mimus treffen?	Schattenspiel	Puppenspiel	Pantomime	Oper	C	KUNST
6	Welche Position hatte Kalman Mikszath in den letzten zwei Jahrzehnten seines Lebens inne?	akademische Sekretarin	Gewerkschaftsprasident	Leibeigener Richter	Parlamentarier	D	LITERATUR
7	Wer waren die Hethiter?	Persische Thronfolger	unsere finno-ugrischen Sprachverwandten	antike Menschen	impressionistische Maler	C	ALLGEMEINES
8	Welches der folgenden Musikstucke wurde nicht von Gabor Presser komponiert?	Die Prufung	ich bin 30 Jahre alt	Der Dachboden	Gottes Geld	D	MUSIK
1	Welches Tier ist Donald, die weltberuhmte Zeichentrickfigur von Walt Disney?	kleiner Maulwurf	Krake	Ente	Musik	C	FILM
2	Welche Art von Kurbis wird nicht fur Lebensmittel angebaut?	Kurbis	Kurbis	Diebe	Spargel	C	KuCHE
3	Was verschweigt der Titel von Solohovs Roman?	der Kaukasus	die Wolga	der Don	Kamtschatka	C	LITERATUR
4	Unter welchem Namen wurde Karol Wojtyla beruhmt?	Frederic Chopin	Nikolaus Kopernikus	II. Papst Johannes Paul	Henryk Sienkiewicz	C	ALLGEMEINES
5	Von welchem Land aus startete die Band ABBA ihre weltberuhmte Reise?	Aus Schweden	Aus Grossbritannien	Aus Danemark	Aus den Niederlanden	A	MUSIK
6	Wo sind diejenigen, die sich in einem Umkreis befinden?	auf einer Fechtmatte	auf einer Saulenvorhalle	Flachlandmaher	in einem offenen Getreidespeicher	B	SPRACHE
7	Die Karagyorjevics waren die Herrscher welcher Nation?	serbisch	rumanisch	Russisch	albanisch	A	GESCHICHTE
8	Welcher der aufgefuhrten Landkreise ist nicht von der Theiss betroffen?	Szabolcs-Szatmar-Bereg	Jasz-Nagykun-Szolnok	Csongrad	friedlich	D	ERDKUNDE
9	Wo ist die Venus von Willendorf zu sehen?	in Paris	in NewYork	in Berlin	in Wien	D	LaNDER
1	Wo lasst es sich laut Volkslied nicht gut leben?	in einer Hundehutte	am Rande der Grenze	in einem Mehrfamilienhaus	neben dem Wald	D	LITERATUR
2	Welche Farbe ist nicht in der Flagge von Frankreich?	Weiss	rot	grun	blau	C	LaNDER
3	Wer von den Folgenden ist die Titelfigur eines Gogol-Werks?	Kritiker	Wirtschaftsprufer	Notar	Steuereintreiber	B	LITERATUR
4	Woraus besteht Hefe?	aus Pilzen	von Algen	von Bakterien	aus Moosen	A	BIOLOGIE
5	Wer war der erste Mitherrscher der osterreichisch-ungarischen Monarchie?	BOGEN. Karl	II. Joseph	Franz Josef	Ferenc Ferdinand	C	GESCHICHTE
6	Wie hiess das Kostumballkleid mit Kapuze und rundem Kragen?	Marokko	Domino	jenga	Macau	B	SPRACHE
7	Was fur ein Tier ist eine Harpyie?	Vogel	Fische	Raubtier	Geldborse	A	BIOLOGIE
8	Was bedeutet das oft in Gebeten verwendete Wort Melasse?	Verehrung	Anmut	Schutz	Hilfe	B	RELIGION
9	Wer war nicht eine der beruhmten Bronte-Schwestern?	Charlotte	Anne	Emily	Caroline	D	ALLGEMEINES
10	Welcher der folgenden Autoren hat den Literaturnobelpreis abgelehnt?	Alexander Solschenizyn	Bohumil Hrabal	Thomas Mann	An Boris Paster	D	LITERATUR
1	Um was fur einen Hirten handelt es sich in dem bekannten Marchen?	eiserne Nase	Huhnerhand	paddelohrig	starraugig	D	LITERATUR
2	Wofur gibt jemand, der Malaga kauft, sein Geld aus?	fur Zigarren	auf einem Papagei	Wein	dekoratives Schwert	C	SPRACHE
3	Auf der Budaer Seite welcher Brucke befindet sich der 0. Kilometerstein?	Margaretenbrucke	Erzsebet-Brucke	Kettenbrucke	Freiheitsbrucke	C	UNGARN
4	Unser Wort Hupikek kommt vom Wort "hupal". Was sollte das heissen?	Wellen	Pflaumen pflucken	Beat-Beat	steht fur Husar	C	SPRACHE
5	Nach wem ist die Hochschule fur Musik benannt?	Ferenc Erkel	Zoltan Kodaly	Franz Liszt	Bela Bartok	C	OPER
6	uber wessen Beschwerden hat Dezso Kosztolanyi einen Gedichtzyklus geschrieben?	Kornel Esti	Susse Anna	das arme kleine kind	Der verlorene Prinz	C	LITERATUR
7	Wer war der mannliche Athlet des Jahres 2000 in Ungarn?	Gyorgy Kolonics	Gabor Balogh	Csollany Silvester	Storcz Botond	C	SPORT
8	Auf wessen Initiative hin wurde das Bayerische Gizi-Schauspielermuseum gegrundet?	Major Tamas	Gobi Hilde	Kindermadchen Margit	Antal Pager	B	THEATER
9	Mit welchem Film begann die ara des ungarischen Tonfilms?	Lila Akazie	Das Marchenauto	Das blaue Idol	Hippolytus, der Diener	C	FILM
1	Wie geht es weiter mit dem bekannten ungarischen Volksgedicht: "Kerekecske, gnombocska, icht Salad …"?	kleines Pferd	Fuchs	Hase	Eidechse	C	LITERATUR
