Difficulty	Question	THE	B	C	D	Answer	Category
6	What invention did John Dunlop install on his son's bicycle?	rear view mirror	counter brake	inflatable tires	solid rubber wheels	C	TECHNIQUE
7	Where do the Hottentots live?	in East Asia	in South Africa	in North America	in central Australia	B	COUNTRIES
8	What ministerial portfolio did Istvan Nagyatadi Szabo hold for several years?	foreign affairs	education matter	agricultural matter	finance	C	HISTORY
9	In which city can the Paloc Museum be viewed?	in Salgotarjan	in Eger	Balassa colony	Pashto	C	HUNGARY
1	What is the name of a road sign?	opening line	closing line	closing line	line of fire	C	GENERAL
2	According to the saying, what does the poor man cook?	with rice	with water	with knocking eyes	with a dirty dish	B	LANGUAGE
3	Carl Maria von Weber wrote an opera about which hunter?	skirt	head	magic	Lion	C	OPERA
4	Who is a guerrilla?	tribal wizard	animal trainer	armed insurgent	money carrier	C	GENERAL
5	Who was the leader of the new Hungarian government established in 1990?	Jozsef Antall	Miklos Nemeth	Peter Boross	Ferenc Madl	A	HISTORY
6	Which city is the namesake of the French national anthem?	Rouen	Marseilles	Lyon	Bordeaux	B	LITERATURE
7	What is the title of Salinger's world-famous novel?	Wheat grinder	Potato picker	Oat grinder	Sea peeler	C	LITERATURE
8	Who was the father of Transylvanian prince Janos Zsigmond?	Ferdinand I	Janos Szapolyai	Istvan Werbczy	George Martinuzzi	B	HISTORY
9	Which singer achieved his first major acting success in the film The Wages of Fear?	Charles Aznavour	Frank Sinatra	Elvis Presley	Yves Montand	D	MOVIE
10	In which of the following countries is the dinar the official currency?	Algeria	Arab Emirates	Chad	Qatar	A	COUNTRIES
1	What kind of scone is the basis of folk tales?	boiled in milk	snappy	burned to coal	baked in ashes	D	LITERATURE
2	What animal is Dolly, the first mammal cloned from a body cell?	goat	sheep	cattle	Shoot	B	BIOLOGY
3	What is the fryer used for?	for baking	for hair drying	for freezing	for serving	A	TECHNIQUE
4	Which group sang: "The mind is important, not the hair"?	Bergendy	Elijah	Omega	Hungary	B	MUSIC
5	In which of the following films did Mari Torcsik play for the first time?	Sweet Anna	Kid	Carousel	Iron flower	C	MOVIE
6	Who is the protagonist of Dezs Kosztolanyi's novel The Golden Dragon?	a teacher	a poet	a maid	a painter	A	LITERATURE
1	What does someone who is given a praline get?	perfume	liquor	sweets	rash	C	LANGUAGE
2	What were the little children jokingly called?	green mouth	sour cream	back buttoned	front clasp	C	LANGUAGE
3	In which field of art did Janos Ferencsik become known?	architecture	music	painting	poetry	B	ART
4	What is the title of the comedy by Louis de Funes: "An angler in the ..."	in hay	in marinade	in a bag	in the mouth	B	MOVIE
5	What is the abbreviation of the economic term "gross domestic product"?	NDP	GNP	GDP	NGP	C	GENERAL
6	Which of the following is not a Mozart opera?	Cosi fan tutte	The Barber of Seville	Don Giovanni	The magic flute	B	OPERA
7	Archbishop Makariosz was the president of which country from 1960?	Greece	Philippines	Cyprus	Mexico	C	HISTORY
8	In which of our counties can you see the ruins of Sumegi Castle?	Veszprem	Head	Komarom-Esztergom	Gyr-Moson-Sopron	A	HUNGARY
9	In what architectural style was the Budapest Fisherman's Bastion built?	neo-gothic	Baroque	Neo-Romanian	classicist	C	ARCHITECTURE
10	Where was the famous spy Mata Hari born?	in India	in the Netherlands	in Sweden	on the island of Java	B	HISTORY
1	How does Sleeping Beauty wake up in the fairy tale?	with music	with a kiss	with the smell of hot coffee	a bucket of water	B	LITERATURE
2	What is the regularly repeated rise in sea level called?	ebb	flooding	high tide	drought	C	GEOGRAPHY
3	Which Dutchman did Wagner write an opera about?	wooden shoes	got lost	tulip	planet	D	OPERA
4	What does the chef do with the meat when he bakes it?	fastens it	fur	slices it	grinds it down	A	KITCHEN
5	Continue the title of the Ady poem! "Paris, my..."	My church	Hortobagy	Bucky	My purse	C	LITERATURE
6	On which continent did Kalman Kittenberger, the famous traveler, do his research?	South America	East Asia	Africa	Antarctica	C	HISTORY
7	Who developed roll film?	Everett MacAdam	George Eastman	Paul Nipkow	Percival Everitt	B	TECHNIQUE
8	How many times has the Hungarian national football team won the Olympic championship?	twice	three times	four times	not even once	B	SPORTS
9	Which country was ruled by members of the Somoza family for more than sixty years?	Nicaragua	Panama	Argentina	Uruguay	A	HISTORY
10	The ancient landmark, Hadrian's Wall, was built on the territory of which present-day country?	Italy	Greece	England	Egypt	C	HISTORY
11	Which metal has the best thermal and electrical conductivity?	ratio	copper	silver	zinc	C	SCIENCE
1	What is the name of the chair that slides on the ice on small ploughs, driven by sticks?	iron cat	copper cow	lead rabbit	wooden dog	D	GENERAL
2	Which of the following is the name of fodder beet?	pork turnip	beef carrot	goat's carrot	turnip	B	GENERAL
3	What can be made of alabaster?	royal mantle	cutlery	furniture	statue	D	GENERAL
4	In which sport did Erzsebet Markus win a silver medal at the Sydney Olympics?	in sport shooting	in juggling	in weightlifting	in fencing	C	SPORTS
5	Who is the author of the novel The Singing Dog?	Charles Dickens	Mark Twain	Oscar Wilde	Jack London	D	LITERATURE
6	In which Verdi opera is the romance of Radames performed?	Traviata	Don Carlos	Rigoletto	Aida	D	OPERA
7	Which season does not appear in Gyula Juhasz's poem that starts with ...?	winter	spring	summer	fall	A	LITERATURE
8	Which river flows through the Grand Canyon?	Rio Grande	Ohio	Mississippi	Colorado	D	GEOGRAPHY
1	How long do people who drink a lot of alcohol drink themselves, according to the saying?	until the avar	to the puddle	to the yellow earth	to the mole pass	C	LANGUAGE
2	Who were called "Priests of Thalia"?	the gardeners	the actors	the meteorologists	the doctors	B	GENERAL
3	Which part of our organ is the worm?	pharyngeal tonsil	appendix	step	duodenum	B	BIOLOGY
4	Which of the following is the name of a food?	fried goose feather	stuffed goose neck	fried goose beak	pulled goose ears	B	KITCHEN
5	Old Bohemia is part of the territory of which present-day country?	France	Czech Republic	Italy	Spain	B	HISTORY
6	Which detective did Humphrey Bogart play in The Maltese Falcon?	Sherlock Holmes	Hercule Poirot	Sam Spade	Inspector Maigret	C	MOVIE
7	According to the Bible, Samson killed a thousand Philistines with the jaws of what animal?	goat	donkey	Lion	calf	B	RELIGION
8	Which of the following is not a Swiss city?	Lausanne	Lucerne	Leiden	Locarno	C	GEOGRAPHY
9	Who was the president of the United States during the Gulf War?	Ronald Reagan	George Bush	Bill Clinton	Jimmy Carter	B	HISTORY
10	Who named the SI unit of magnetic induction?	Becquerel	Siemens	Faraday	Tesla	D	SCIENCE
1	What kitchen appliance is in the title of Tchaikovsky's world-famous ballet?	meat grinder	poppy seed grinder	rolling pin	nut-cracker	D	ART
2	What does someone who buys a cape spend their money on?	for small rodents	on clothes	brush	decorative sword	B	LANGUAGE
3	Which fruit has berries?	Apple	solo	plum	melon	B	BIOLOGY
4	Which country won the most gold medals at the Sydney Olympics?	Australia	Russia	USA	China	C	SPORTS
5	To which country does the island of Corsica belong?	to Italy	to France	to Portugal	to Greece	B	GEOGRAPHY
6	What does the science of ethology deal with?	with children's nutrition	with the behavior of animals	with library systematization	with Central African folk music	B	SCIENCE
7	What characterizes the economy of a state in each case during a recession?	relapse	fast catch up	stable finances	booming stock market	A	GENERAL
8	Who is the author of the well-known novel The Legend of Rabbit Paprika?	J. Jen Tersanszky	Gyula Krudy	John Updike	Joseph Heller	A	LITERATURE
9	Which continent is the raccoon native to?	Africa	Asia	America	Australia	C	BIOLOGY
10	What is the title of Sandor Petfi's only surviving novel?	Green Marci	The apostle	Hangman's rope	Tiger and hyena	C	LITERATURE
1	What does the popular saying call something that is left for free?	Buzsak's hay	Csaki's straw	Canvas of Mrs. Dean	Crumbs for dog's dinner	B	LANGUAGE
2	According to the folk song, which tavern does the cymbal player go to play the cymbal with the cymbal?	csengeri	Hortobagyi	hooking	bodajki	C	LITERATURE
3	Eger is the seat of which county?	Tolna	Nograd	Csongrad	Fierce	D	GEOGRAPHY
4	What kind of birds are loris?	hummingbird	parrots	pigeons	seagulls	B	BIOLOGY
5	Which of the listed European states is not a republic?	Slovenia	Portugal	The Netherlands	Ireland	C	COUNTRIES
6	How many wheels did Carl Benz's first vehicle with a gasoline engine have?	two	three	four	six	B	TECHNIQUE
7	Who is the Sopron theater named after?	Mihaly Vorosmarty	Sandor Petofi	Golden John	Imre Madach	B	THEATER
8	What nationality was Celsius, the creator of the temperature scale we also use?	Swedish	German	Dutch	Danish	A	SCIENCE
9	Who was leader Lehel's companion in the failed Augsburg battle?	Uncle	In trouble	Bulcsu	Bereny	C	HISTORY
10	Which American movie star was born in the former East Germany?	Bruce Willis	Arnold Schwarzenegger	Leonardo DiCaprio	Marlon Brando	A	MOVIE
1	What is another name for a university textbook?	code	index	telex	matrix	B	GENERAL
2	Which French woman became famous as a fashion designer?	Marguerite Duras	Françoise Sagan	Coco Chanel	Edith Piaf	C	GENERAL
3	Who was the king of Ithaca according to Homer?	Patroclus	Tantalus	Adonis	Odysseus	D	LITERATURE
4	Which animal does the vernacular call a goblin?	fall fly	fattened ox	male freshman	little goat	B	LANGUAGE
1	What fairy-tale piece of clothing is "seven miles"?	pants	boots	hat	fur coat	B	GENERAL
2	One of the cruel customs of which ancient city-state is associated with Mount Taygetus?	Sparta	Athens	Syracuse	Thebes	A	HISTORY
3	How do we write the following expression correctly?	chess club	chess club	chess club	chess club	C	LANGUAGE
4	What animals did Nils Holgersson travel with?	with swallows	with seagulls	with vultures	with geese	D	LITERATURE
5	Which of the following countries does not have the color white in its flag?	Belgium	The Netherlands	France	Finland	A	COUNTRIES
6	Who is currently the parliamentary commissioner for civil rights in Hungary?	Peter Polt	Katalin Gonczol	Peter Harrach	Laszlo Solyom	B	GENERAL
7	Marc Chagall, the painter who lived in France, was born in which country?	Germany	Switzerland	Poland	Russia	D	FINE ARTS
1	According to the saying, what do we make of someone who allows himself to be misled?	ass	into a mule	into a sheep	into a horse	D	LANGUAGE
2	What wild animal does Toldi restrain with his bare hands on the streets of Pest?	horse	bull	a bear	a dog	B	LITERATURE
3	Which of the following chess pieces is the least common in a chess set?	on foot	from running	from a bastion	from leader	D	GAME
4	What is a quasar?	quartz rock	stellar radio source	Albanian market	extinct wild horse	B	LANGUAGE
5	Where did the holy family flee from the child murders in Bethlehem?	to Syria	To Mesopotamia	to Babylon	To Egypt	D	RELIGION
6	The music of which operetta was composed by Johann Strauss the Younger?	The gypsy primate	Count of Luxembourg	The Gypsy Baron	Baroness Lili	C	OPERA
7	In which year was the Rajk trial held in Hungary?	in 1946	in 1948	in 1949	in 1953	C	HISTORY
1	Who deals with the finishing of animal skins?	the colander	the tanner	the goldsmith	the beautician	B	GENERAL
2	What kind of soul do we call a profoundly deceitful person?	wolf	carvallo	fox	dove	C	LANGUAGE
3	What kind of art is Luciano Pavarotti a representative of?	film director	opera singer	ballet dancer	cubist painter	B	ART
4	Which team sport is played with an egg-shaped ball?	basketball	riding shirt	rugby	turf ball	C	SPORTS
5	Which band sang "Everybody Does It Differently"?	Phonograph	Pyramid	Scorpio	Locomotive GT	D	MUSIC
6	According to Batsanyi's words, which city should you cast your watchful eye on?	To Moscow	To Vienna	to Paris	to Berlin	C	LITERATURE
7	What is another name for carburetor?	generator	dynamo	transformer	nebulizer	D	TECHNIQUE
8	What mythological creatures is the order of sea cows named after?	valkyries	siren	heras	weeks	B	BIOLOGY
9	Who wrote a symphony with the adjectives "The bear" and "The hen"?	Beethoven	Tchaikovsky	Haydn	Brahms	C	OPERA
1	What is the name of a famous Hungarian dish?	hunting juice	bird juice	fish soup	hemp juice	C	KITCHEN
2	Where, according to the saying, do those who collaborate in something, who assume complicity, sell?	at a horse fair	on a mat	on a counter	in a doorway	B	LANGUAGE
3	What trap is Joseph Heller's novel about?	the 007	the 22nd	the 111	the 424	B	LITERATURE
4	Which port city is not located on the coast of the Mediterranean Sea?	Marseilles	Calais	Haifa	Tripoli	B	GEOGRAPHY
5	The two main schools of which religion are Sunni and Shia?	Christianity	Buddhism	Hinduism	Islamic	D	RELIGION
6	Which of the listed countries is a member of NATO?	Luxembourg	Switzerland	Sweden	Cyprus	A	COUNTRIES
7	What was a slave called in ancient Sparta?	ephorus	perioikos	Georgia	helot	D	HISTORY
8	Based on whose novel did Verdi write his opera Traviata?	Victor Hugo	Jr. Alexandre Dumas	ETA Hoffmann	Walter Scott	B	OPERA
9	Who is the youngest member of the former Beatles?	Paul McCartney	George Harrison	John Lennon	Ringo Starr	B	MUSIC
1	What kind of eyes does a sharp-sighted person have?	eagle	puppet	sphere	hen	A	LANGUAGE
2	Whose well-known writing pseudonym is P. Howard?	Antal Serb	Jen Rejt	Jen Heltai	Frigyes Karinthy	B	LITERATURE
3	Which of the following foods is the basic ingredient of szekelygulyas?	steamed cauliflower	pickled cucumber	planed pumpkin	sour cabbage	D	KITCHEN
4	What is the title of Magda Szabo's well-known work set in a girls' school?	Alexandra	Anna	Abigail	Abyss	C	LITERATURE
5	What is the name of the group organized around Ignac Martinovics?	Hungarian royalists	Hungarian Girondists	Hungarian sans-culottes	Hungarian Jacobins	D	HISTORY
6	What color gemstone is sapphire?	green	yellow	blue	red	C	GENERAL
7	In which of our mountains can we climb the mountain called Istallos-k?	in Bukk	in Bakony	in the Kszegi Mountains	in the Zempleni Mountains	A	GEOGRAPHY
8	What nationality was the composer Edvard Grieg?	Swedish	German	Norwegian	Dutch	C	OPERA
9	According to KRESZ, in which cases is it allowed to stop with a car?	without payment at the parking meter	in an invisible bend in the road	at the tunnel exit	at a designated pedestrian crossing	A	GENERAL
10	Which famous film was made by a non-Hungarian director?	Casablanca	VIII. Henrik's private life	Lady Hamilton	Irma, you sweetie	D	MOVIE
11	In which branch of sports shooting did Karoly Takacs win two Olympic gold medals?	rapid fire pistol	air gun	sporting pistol	small rifle, complex	A	SPORTS
12	Who was Rembrandt's model in the last years of his life?	Cybille	Saskia	Hendrick's	Kirsten	C	ART
1	What does Kukorica Jancsi throw into the Fairyland lake?	a stone	a giant	a goldfish	a rose	D	LITERATURE
