Nehezseg	Kerdes	A	B	C	D	Valasz	Kategoria
8	Melyik birodalom szethullasanak fontos allomasa volt a verduni szerzodes 843-ban?	Romai Birodalom	Frank Birodalom	Hun Birodalom	Avar Birodalom	B	ToRTeNELEM
9	Hol talalhato Magyarorszagon lampamuzeum?	Mor	Tata	Zsambek	Sopron	C	MAGYARORSZaG
10	Miert tartoztatjak le a Szelid motorosok cimu film ket fohoset?	gyorshajtasert	kozteri alkoholfogyasztasert	drogfogyasztasert	engedely nelkuli felvonulasert	D	FILM
1	Mi torott el a mondas szerint annal, aki sirva fakad?	a rozsa tove	a mecses	a lopatko	a kardantengely	B	NYELV
2	Minek a "fosztogatoi" szerepelnek Steven Spielberg filmjenek cimebeb?	az elsullyedt Atlantisz	az eltunt aranyvaros	Manhattan	az elveszett frigylada	D	FILM
3	Mire nincs szukseg a becsi szelet keszitesehez?	tojasra	zsemlemorzsara	buzadarara	lisztre	C	KONYHA
4	Ki nyerte meg 2000-ben a Forma 1-es autoverseny vilagbajnoki cimet?	David Coulthard	Mika Hakkinen	Ralf Schumacher	Michael Schumacher	D	SPORT
5	Melyik miniszteri tarcat kapta holgy 1998-ban?	csaladugy	igazsagugy	belugy	egeszsegugy	B	ToRTeNELEM
6	Melyik a periodusos rendszer elso eleme?	helium	hidrogen	bor	oxigen	B	TUDOMaNY
7	Mibol keszult hajon tett kiserletet Thor Heyerdahl az Atlanti-ocean atszelesere?	bambusz	ebenfa	papirusz	parafa	C	ToRTeNELEM
8	Mi a Nemetorszagi Szocialdemokrata Part kozismert roviditese?	SPD	FDP	CDU	NDPD	A	ToRTeNELEM
9	Az alabbiak kozul melyik Verdi-opera nem Shakespeare-drama alapjan keszult?	Otello	Macbeth	Don Carlos	Falstaff	C	OPERA
10	Melyik nagy utazonk irta meg a torok-tatar nyelvek etimologiai szotarat?	Vambery armin	Hopp Ferenc	Korosi Csoma Sandor	Germanus Gyula	A	NYELV
11	Melyik orszag valogatottja nyerte a sydneyi olimpia labdarugo tornajat?	Chile	Kamerun	Spanyolorszag	Nigeria	B	SPORT
12	Melyik okori gorog filozofus volt a macedoniai Nagy Sandor neveloje?	Arhimedesz	Platon	Arisztotelesz	Diogenesz	C	ToRTeNELEM
13	Ki nem jatszotta el Fletcher Christian szerepet A Bounty lazadoi cimu regeny filmvaltozataiban?	Clark Gable	James Stewart	Marlon Brando	Mel Gibson	B	FILM
14	Az alabbi novenyek kozul melyik lombhullato?	libanoni cedrus	vorosfenyo	duglaszfenyo	atlaszcedrus	B	BIOLoGIA
1	Mi a neve a rabszallito autonak?	pandurszeker	rabomobil	betyarmoped	fogolybatar	B	aLTALaNOS
2	Mibol van a szive annak, aki erzeketlen?	vasbol	fabol	csontbol	kobol	D	NYELV
3	Melyik szo jelol egy retekfajtat?	jegecet	jegdara	jegcsap	tuzcsap	C	KONYHA
4	Mi a szonoklattan kozismert neve?	grammatika	retorika	ezoterika	gimnasztika	B	NYELV
5	Milyen cimmel nem irt szindarabot Neil Simon?	Mezitlab a parkban	Furcsa par	A Napsugar fiuk	A miniszter felrelep	D	IRODALOM
6	Mibol keszul a zsirardikalap?	szalma	borjubor	poszto	nyulszor	A	aLTALaNOS
1	Melyik egy mezogazdasagi betakaritasi munka?	zabhegyezes	repazuzas	dinnyedofes	kukoricatores	D	aLTALaNOS
2	Hogyan becezik Kovacs Istvan profi okolvivonkat?	Boxer	Aranykovacs	Villamoklu	Koko	D	SPORT
3	Melyik alapanyag nelkul nem keszulhet korozott?	turo	kolbasz	paradicsom	sargarepa	A	KONYHA
4	Kinek a muvebol keszult Dargay Attila Ludas Matyi cimu rajzfilmje?	Petofi Sandor	Arany Janos	Csokonai Vitez Mihaly	Fazekas Mihaly	D	IRODALOM
5	Melyik varosban jatszodik Puccini Bohemelet cimu operaja?	Romaban	New Yorkban	Velenceben	Parizsban	D	OPERA
6	Kinek a felajanlasara alapitottak meg a Nemzeti Muzeumot?	Kazinczy Ferenc	Martinovics Ignac	Szechenyi Ferenc	Szechenyi Istvan	C	ToRTeNELEM
7	Ki az az angol kolto, aki a gorog szabadsagharcban vesztette eletet?	Byron	Shelley	Milton	Coleridge	A	ToRTeNELEM
8	Melyik rockegyuttesben kezdte enekesi palyafutasat akos?	amokfutok	Bonanza Banzai	Animal Cannibals	Elso Emelet	B	ZENE
9	Ki volt az a politikus, aki 1971-ben kikialtotta Banglades fuggetlenseget?	Morardzsi Deszai	Ziaur Rahman	Mahmud Ullah	Mudzsibur Rahman	D	ToRTeNELEM
10	Milyen nemzetisegu jatekvezeto fujta a sipot a 2000. labdarugo EB dontojeben?	dan	skot	sved	osztrak	C	SPORT
1	Melyik egy sakklepes neve?	teveugetes	lougras	malacvagta	csigafutas	B	JaTeK
2	Mi az ametiszt?	katonai rang	feldragako	utohangszer	textilfajta	B	NYELV
3	Melyik madar szallott fel a varmegye-hazara a magyar nepdal szerint?	gerle	rigo	pava	solyom	C	IRODALOM
4	Melyik nagy koltonk szerelme volt Brull Adel?	Jozsef Attila	Babits Mihaly	Kosztolanyi Dezso	Ady Endre	D	IRODALOM
5	Ki nem operaenekes az alabbi muveszek kozul?	Berkes Janos	Gregor Jozsef	Szokolay Sandor	Gulyas Denes	C	OPERA
6	Milyen talalmanyt szerelt fia kerekparjara John Dunlop?	visszapillanto tukrot	kontrafeket	felfujhato gumikereket	tomor gumikereket	C	TECHNIKA
7	Hol elnek a hottentottak?	Kelet-azsiaban	Del-Afrikaban	eszak-Amerikaban	Kozep-Ausztraliaban	B	ORSZaGOK
8	Milyen miniszteri tarcat toltott be tobb even at Nagyatadi Szabo Istvan?	kulugy	oktatasugy	foldmuvelesugy	penzugy	C	ToRTeNELEM
9	Melyik varosunkban tekintheto meg a Paloc Muzeum?	Salgotarjanban	Egerben	Balassagyarmaton	Paszton	C	MAGYARORSZaG
1	Melyik egy utburkolati jel neve?	nyitovonal	csukovonal	zarovonal	tuzvonal	C	aLTALaNOS
2	Mivel foz a szegeny ember a mondas szerint?	rizzsel	vizzel	kopogo szemmel	likas edennyel	B	NYELV
3	Milyen vadaszrol irt operat Carl Maria von Weber?	szoknya	fej	buvos	oroszlan	C	OPERA
4	Ki az a gerilla?	torzsi varazslo	allatidomar	fegyveres felkelo	penzszallito	C	aLTALaNOS
5	Ki volt az 1990-ben megalakult uj magyar kormany vezetoje?	Antall Jozsef	Nemeth Miklos	Boross Peter	Madl Ferenc	A	ToRTeNELEM
6	Melyik varos a francia himnusz nevadoja?	Rouen	Marseille	Lyon	Bordeaux	B	IRODALOM
7	Mi a cime Salinger vilaghiru regenyenek?	Buzadaralo	Krumpliszedo	Zabhegyezo	Tengeri-hanto	C	IRODALOM
8	Ki volt Janos Zsigmond erdelyi fejedelem apja?	I. Ferdinand	Szapolyai Janos	Werboczy Istvan	Martinuzzi Gyorgy	B	ToRTeNELEM
9	Melyik enekes aratta elso nagy szineszi sikeret A felelem bere cimu filmben?	Charles Aznavour	Frank Sinatra	Elvis Presley	Yves Montand	D	FILM
10	Az alabbiak kozul melyik orszagban hivatalos penznem a dinar?	Algeria	Arab Emirsegek	Csad	Katar	A	ORSZaGOK
1	Milyen pogacsa a nepmesek utravaloja?	tejben fott	tepertos	szenne egett	hamuban sult	D	IRODALOM
2	Milyen allat az elsokent bemutatott, testi sejtbol klonozott emlos, Dolly?	kecske	barany	szarvasmarha	lo	B	BIOLoGIA
3	Mire hasznaljak a fritozt?	sutesre	hajszaritasra	fagyasztasra	talalasra	A	TECHNIKA
4	Melyik egyuttes enekelte, hogy : "Az esz a fontos, nem a haj"?	Bergendy	Illes	Omega	Hungaria	B	ZENE
5	Az alabbi filmek kozul melyikben jatszott eloszor Torocsik Mari?	edes Anna	Kolyok	Korhinta	Vasvirag	C	FILM
6	Ki a foszereploje Kosztolanyi Dezso Aranysarkany cimu regenyenek?	egy tanar	egy kolto	egy cseled	egy festo	A	IRODALOM
1	Mit kap, akinek pralinet ajandekoznak?	illatszert	likort	edesseget	kiutest	C	NYELV
2	Hogyan neveztek trefalkozva a kisgyerekeket?	zoldszaju	tejfelesfulu	hatulgombolos	elolkapcsos	C	NYELV
3	Melyik muveszeti teruleten lett ismert Ferencsik Janos?	epiteszet	zene	festeszet	kolteszet	B	MuVeSZET
4	Mi a cime Louis de Funes vigjatekanak: "Horgasz a …"	sasban	pacban	zsakban	szakban	B	FILM
5	Mi a "brutto hazai termek" kozgazdasagi kifejezes roviditese?	NDP	BNP	GDP	NGP	C	aLTALaNOS
6	Melyik nem Mozart-opera az alabbiak kozul?	Cosi fan tutte	A sevillai borbely	Don Giovanni	A varazsfuvola	B	OPERA
7	Melyik orszag elnoke volt 1960-tol Makariosz ersek?	Gorogorszag	Fulop-szigetek	Ciprus	Mexiko	C	ToRTeNELEM
8	Melyik megyenkben lathatok a sumegi var romjai?	Veszprem	Fejer	Komarom-Esztergom	Gyor-Moson-Sopron	A	MAGYARORSZaG
9	Milyen epiteszeti stilusban epult a budapesti Halaszbastya?	neogotikus	barokk	neoroman	klasszicista	C	ePiTeSZET
10	Hol szuletett a hires kemno, Mata Hari?	Indiaban	Hollandiaban	Svedorszagban	Java szigeten	B	ToRTeNELEM
1	Hogyan ebresztik fel Csipkerozsikat a meseben?	muzsikaval	csokkal	forro kave illataval	egy vodor vizzel	B	IRODALOM
2	Hogy nevezik a tengerszint szabalyosan ismetlodo emelkedeset?	apaly	arviz	dagaly	aszaly	C	FoLDRAJZ
3	Milyen hollandirol irt operat Wagner?	facipos	eltevedt	tulipanos	bolygo	D	OPERA
4	Mit csinal a hussal a szakacs, amikor spekeli?	megtuzdeli	bundazza	felszeleteli	ledaralja	A	KONYHA
5	Folytassa az Ady-vers cimet! "Paris, az en …"	Mecsekem	Hortobagyom	Bakonyom	Borzsonyom	C	IRODALOM
6	Melyik foldreszen vegzett kutatomunkat Kittenberger Kalman, a neves utazo?	Del-Amerika	Kelet-azsia	Afrika	Antarktisz	C	ToRTeNELEM
7	Ki fejlesztette ki a tekercsfilmet?	Everet MacAdam	George Eastman	Paul Nipkow	Percival Everitt	B	TECHNIKA
8	Hanyszor nyert a magyar labdarugo valogatott olimpiai bajnoksagot?	ketszer	haromszor	negyszer	egyszer sem	B	SPORT
9	Melyik orszagban uralkodtak tobb mint hatvan evig a Somoza csalad tagjai?	Nicaragua	Panama	Argentina	Uruguay	A	ToRTeNELEM
10	Mely mai orszag teruleten epult fel az okori nevezetesseg, Hadrianus fala?	Olaszorszag	Gorogorszag	Anglia	Egyiptom	C	ToRTeNELEM
11	Melyik a legjobb ho- es elektromos vezetokepessegu fem?	arany	rez	ezust	cink	C	TUDOMaNY
1	Mi a neve a jegen kis szantalpakon csuszo, botokkal hajtott szeknek?	vasmacska	reztehen	olomnyul	fakutya	D	aLTALaNOS
2	Melyik a takarmanyrepa elnevezese az alabbiak kozul?	sertesrepa	marharepa	kecskerepa	birkarepa	B	aLTALaNOS
3	Mi keszulhet alabastrombol?	kiralyi palast	evoeszkoz	butor	szobor	D	aLTALaNOS
4	Melyik sportagban szerzett ezustermet Markus Erzsebet a sydneyi olimpian?	sportloveszetben	cselgancsban	sulyemelesben	vivasban	C	SPORT
5	Ki a szerzoje Az eneklo kutya cimu regenynek?	Charles Dickens	Mark Twain	Oscar Wilde	Jack London	D	IRODALOM
6	Melyik Verdi-operaban hangzik el Radames romanca?	Traviata	Don Carlos	Rigoletto	Aida	D	OPERA
7	Melyik evszak nem jelenik meg Juhasz Gyula Milyen volt … kezdetu verseben?	tel	tavasz	nyar	osz	A	IRODALOM
8	Melyik folyo folyik keresztul a Grand Canyonon?	Rio Grande	Ohio	Mississippi	Colorado	D	FoLDRAJZ
1	Meddig issza le magat a sok alkoholt fogyaszto ember a mondas szerint?	az avarig	a pocsolyaig	a sarga foldig	a vakondjaratig	C	NYELV
2	Kiket neveztek "Thalia papjainak"?	a kerteszeket	a szineszeket	a meteorologusokat	az orvosokat	B	aLTALaNOS
3	Melyik szervunk resze a feregnyulvany?	garatmandula	vakbel	lep	nyombel	B	BIOLoGIA
4	Az alabbiak kozul melyik egy etel elnevezese?	rantott libatoll	toltott libanyak	sult libacsor	meghuzott libaful	B	KONYHA
5	Melyik mai orszag teruletenek resze a regi Bohemia?	Franciaorszag	Csehorszag	Olaszorszag	Spanyolorszag	B	ToRTeNELEM
6	Melyik detektivet alakitotta Humphrey Bogart A maltai solyom cimu filmben?	Sherlock Holmes	Hercule Poirot	Sam Spade	Maigret felugyelo	C	FILM
7	A Biblia szerint milyen allat allkapcsaval utott agyon Samson ezer filiszteust?	kecske	szamar	oroszlan	borju	B	VALLaS
8	Melyik nem svajci varos az alabbiak kozul?	Lausanne	Luzern	Leiden	Locarno	C	FoLDRAJZ
9	Ki volt az Egyesult allamok elnoke az obol-haboru idejen?	Ronald Reagan	George Bush	Bill Clinton	Jimmy Carter	B	ToRTeNELEM
10	Ki volt a magneses indukcio SI-mertekegysegenek nevadoja?	Becquerel	Siemens	Faraday	Tesla	D	TUDOMaNY
1	Milyen konyhai eszkoz szerepel Csajkovszkij vilaghiru balettjenek cimeben?	husklopfolo	makdaralo	sodrofa	diotoro	D	MuVeSZET
2	Mire kolti a penzet, aki pelerint vasarol?	apro ragcsalora	ruhara	ecsetre	diszkardra	B	NYELV
3	Melyik gyumolcsnek van bogyotermese?	alma	szolo	szilva	dinnye	B	BIOLoGIA
4	Melyik orszag nyerte a legtobb aranyermet a sydneyi olimpian?	Ausztralia	Oroszorszag	Amerikai Egyesult allamok	Kina	C	SPORT
5	Melyik orszaghoz tartozik Korzika szigete?	Olaszorszaghoz	Franciaorszaghoz	Portugaliahoz	Gorogorszaghoz	B	FoLDRAJZ
6	Mivel foglalkozik az etologia tudomanya?	gyerekek taplalkozasaval	allatok viselkedesevel	konyvtari rendszerezessel	kozep-afrikai nepzenevel	B	TUDOMaNY
7	Mi jellemzi minden esetben egy allam gazdasagat recesszio idejen?	visszaeses	gyors felzarkozas	stabil penzugyek	elenkulo tozsde	A	aLTALaNOS
8	Ki a szerzoje a Legenda a nyulpaprikasrol cimu ismert regenynek?	Tersanszky J. Jeno	Krudy Gyula	John Updike	Joseph Heller	A	IRODALOM
9	Melyik foldreszen honos a mosomedve?	Afrika	azsia	Amerika	Ausztralia	C	BIOLoGIA
10	Mi a cime Petofi Sandor egyetlen rank maradt regenyenek?	Zold Marci	Az apostol	A hoher kotele	Tigris es hiena	C	IRODALOM
1	Hogyan nevezi a nepi szolas a szabad predara hagyott holmit?	Buzsaki szenaja	Csaki szalmaja	Deakne vaszna	Morzsa kutya vacsoraja	B	NYELV
2	Melyik csardaba jar a cimbalmos a cimbalmaval cimbalmozni a nepdal szerint?	csengeri	hortobagyi	horgosi	bodajki	C	IRODALOM
3	Melyik megyenk szekhelye Eger?	Tolna	Nograd	Csongrad	Heves	D	FoLDRAJZ
4	Milyen madarak a lorik?	kolibrik	papagajok	galambok	siralyok	B	BIOLoGIA
5	A felsorolt europai allamok kozul melyik nem koztarsasag?	Szlovenia	Portugalia	Hollandia	irorszag	C	ORSZaGOK
6	Hany kereku volt Carl Benz elso, benzinmotorral hajtott jarmuve?	ketto	harom	negy	hat	B	TECHNIKA
7	Kirol kapta nevet a soproni szinhaz?	Vorosmarty Mihaly	Petofi Sandor	Arany Janos	Madach Imre	B	SZiNHaZ
8	Milyen nemzetisegu volt Celsius, az altalunk is hasznalt homersekleti skala megalkotoja?	sved	nemet	holland	dan	A	TUDOMaNY
9	Ki volt Lehel vezer tarsa az elbukott augsburgi csataban?	Bacs	Bajan	Bulcsu	Bereny	C	ToRTeNELEM
10	Melyik amerikai filmsztar szuletett az egykori NSZK-ban?	Bruce Willis	Arnold Schwarzenegger	Leonardo DiCaprio	Marlon Brando	A	FILM
1	Hogy nevezik maskepp az egyetemi leckekonyvet?	kodex	index	telex	matrix	B	aLTALaNOS
2	Melyik francia asszony lett hires divattervezokent?	Marguerite Duras	Francoise Sagan	Coco Chanel	Edith Piaf	C	aLTALaNOS
3	Ki volt Ithaka kiralya Homerosz szerint?	Patroklosz	Tantalosz	Adonisz	Odusszeusz	D	IRODALOM
4	Melyik allatot nevezi a nepnyelv gobolynek?	oszi legyet	hizlalt okrot	him golyat	kis kecsket	B	NYELV
1	Milyen mesebeli ruhadarab "hetmerfoldes"?	gatya	csizma	kalap	bunda	B	aLTALaNOS
2	Melyik okori varosallam egyik kegyetlen szokasa kapcsolodik Taigetosz hegyehez?	Sparta	Athen	Szirakuza	Theba	A	ToRTeNELEM
3	Hogyan irjuk helyesen az alabbi kifejezest?	sakk klub	sakklub	sakk-klub	sakkklub	C	NYELV
4	Milyen allatokkal utazott Nils Holgersson?	fecskekkel	siralyokkal	keselyukkel	ludakkal	D	IRODALOM
5	Az alabbiak kozul melyik orszag zaszlajaban nincs feher szin?	Belgium	Hollandia	Franciaorszag	Finnorszag	A	ORSZaGOK
6	Ki jelenleg Magyarorszagon az allampolgari jogok orszaggyulesi biztosa?	Polt Peter	Gonczol Katalin	Harrach Peter	Solyom Laszlo	B	aLTALaNOS
7	Melyik orszag szulotte Marc Chagall, a Franciaorszagban elt festo?	Nemetorszag	Svajc	Lengyelorszag	Oroszorszag	D	KePZoMuVeSZET
1	Mive tesszuk a mondas szerint azt, aki hagyja magat felrevezetni?	szamarra	oszverre	birkava	lova	D	NYELV
2	Milyen megvadult allatot fekez meg Toldi puszta kezzel a pesti utcan?	lovat	bikat	medvet	kutyat	B	IRODALOM
3	Az alabbiak kozul melyik sakkbabubol van a legkevesebb egy sakk-keszletben?	gyalogbol	futobol	bastyabol	vezerbol	D	JaTeK
4	Mi a kvazar?	kvarckozet	csillagszeru radioforras	alban piac	kihalt vadlo	B	NYELV
5	Hova menekult a szent csalad a betlehemi gyermekgyilkossagok elol?	Sziriaba	Mezopotamiaba	Babilonba	Egyiptomba	D	VALLaS
6	Melyik operett zenejet komponalta ifjabb Johann Strauss?	A ciganyprimas	Luxemburg grofja	A ciganybaro	Lili barono	C	OPERA
7	Melyik evben volt a Rajk-per Magyarorszagon?	1946-ban	1948-ban	1949-ben	1953-ban	C	ToRTeNELEM
1	Ki foglalkozik allati borok kikeszitesevel?	a szatocs	a timar	az otvos	a kozmetikus	B	aLTALaNOS
2	Milyen lelkunek nevezzuk a fondorlatosan alnok szemelyt?	farkas	karvaly	roka	galamb	C	NYELV
3	Milyen muveszeti ag kepviseloje Luciano Pavarotti?	filmrendezo	operaenekes	balett-tancos	kubista festo	B	MuVeSZET
4	Melyik csapatsportot jatsszak tojas alaku labdaval?	kosarlabda	lovaspolo	rogbi	gyeplabda	C	SPORT
5	Melyik egyuttes enekelte, hogy "Mindenki maskepp csinalja"?	Fonograf	Piramis	Skorpio	Lokomotiv GT	D	ZENE
6	Melyik varosra vessetek vigyazo szemetek Batsanyi szalloigeje szerint?	Moszkvara	Becsre	Parizsra	Berlinre	C	IRODALOM
7	Mi a karburator masik elnevezese?	generator	dinamo	transzformator	porlaszto	D	TECHNIKA
8	Milyen mitologiai lenyek nevet viseli a tengeri tehenek rendje?	valkurok	szirenek	herak	heterak	B	BIOLoGIA
9	Ki irt szimfoniat "A medve" illetve "A tyuk" mellekneven?	Beethoven	Csajkovszkij	Haydn	Brahms	C	OPERA
1	Melyik egy hires magyar etel neve?	vadaszle	madaraszle	halaszle	kanaszle	C	KONYHA
2	Hol arulnak a mondas szerint, akik valamiben kozoskodnek, cinkossagot vallalnak?	egy lovasarban	egy gyekenyen	egy pulton	egy kapualjban	B	NYELV
3	Minek a csapdajarol szol Joseph Heller regenye?	a 007-es	a 22-es	a 111-es	a 424-es	B	IRODALOM
4	Melyik kikotovaros nem a Foldkozi-tenger partjan fekszik?	Marseille	Calais	Haifa	Tripoli	B	FoLDRAJZ
5	Melyik vallas ket fo iranyzata a szunita es a siita?	keresztenyseg	buddhizmus	hinduizmus	iszlam	D	VALLaS
6	A felsorolt orszagok kozul melyik tagja a NATO-nak?	Luxemburg	Svajc	Svedorszag	Ciprus	A	ORSZaGOK
7	Hogy neveztek a rabszolgat az okori Spartaban?	ephorosz	perioikosz	geruszia	helota	D	ToRTeNELEM
8	Kinek a regenye alapjan irt Verdi Traviata cimu operajat?	Victor Hugo	ifj. Alexandre Dumas	E. T. A. Hoffmann	Walter Scott	B	OPERA
9	Ki az egykori Beatles-egyuttes legfiatalabb tagja?	Paul McCartney	George Harrison	John Lennon	Ringo Starr	B	ZENE
1	Milyen szemu az elesen lato ember?	sas	bab	gomb	tyuk	A	NYELV
2	Kinek a kozismert iroi alneve P. Howard?	Szerb Antal	Rejto Jeno	Heltai Jeno	Karinthy Frigyes	B	IRODALOM
3	Az alabbiak kozul melyik elelmiszer a szekelygulyas alapanyaga?	parolt karfiol	kovaszos uborka	gyalult tok	savanyu kaposzta	D	KONYHA
4	Mi a cime Szabo Magda leanyiskolaban jatszodo ismert muvenek?	Alexandra	Anna	Abigel	Abisag	C	IRODALOM
5	Hogy nevezik a Martinovics Ignac korul szervezodott csoportot?	magyar royalistak	magyar girondistak	magyar sans-culotte-ok	magyar jakubinusok	D	ToRTeNELEM
6	Milyen szinu dragako a zafir?	zold	sarga	kek	voros	C	aLTALaNOS
7	Melyik hegysegunkben maszhatjuk meg az Istallos-ko nevu hegyet?	a Bukkben	a Bakonyban	a Koszegi-hegysegben	a Zempleni-hegysegben	A	FoLDRAJZ
8	Milyen nemzetisegu volt Edvard Grieg zeneszerzo?	sved	nemet	norveg	holland	C	OPERA
9	A KRESZ szerint melyik esetben szabad szemelygepkocsival megallni?	parkoloranal fizetes nelkul	belathatatlan utkanyarulatban	alagut kijaratanal	kijelolt gyalogos-atkelohelyen	A	aLTALaNOS
10	Melyik hires filmet nem magyar szarmazasu rendezo keszitette?	Casablanca	VIII. Henrik maganelete	Lady Hamilton	Irma, te edes	D	FILM
11	A sportloveszet melyik agaban szerzett ket olimpiai aranyermet Takacs Karoly?	gyorstuzelo pisztoly	legpisztoly	sportpisztoly	kisobu puska, osszetett	A	SPORT
12	Ki volt Rembrandt modellje elete utolso eveiben?	Cybille	Saskia	Hendrickje	Kirsten	C	MuVeSZET
1	Mit dob Kukorica Jancsi Tunderorszag tavaba?	egy kovet	egy oriast	egy aranyhalat	egy rozsat	D	IRODALOM
2	Melyik elelmiszer a rantas alapanyaga?	rizs	liszt	zsemlemorzsa	buzadara	B	KONYHA
3	Milyen alaku az "aLLJ! Elsobbsegadas kotelezo" jelzotabla?	haromszog	negyzet	kor	nyolcszog	D	aLTALaNOS
1	Melyik idojarasi jelensegnek loghat a laba a mondas szerint?	a kodnek	az esonek	a zuzmaranak	a mennydorgesnek	B	NYELV
2	Milyen etvagya van annak az embernek, aki nagyon ehes?	roka	farkas	medve	tigris	B	NYELV
3	Mi elott all az iszlam hivo, ha a ramadanra keszul?	szent haboru	bojti honap	ritualis ongyilkossag	eskuvoi lakoma	B	VALLaS
4	Ki Balga szerelme a Csongor es Tundeben?	Vilma	Irma	Ilma	Hilda	C	IRODALOM
5	Melyik idom szerepel az Edda egyuttes egyik dalanak cimeben?	negyzet	haromszog	kor	teglalap	C	ZENE
6	Ki jelenleg az ENSZ fotitkara?	Butrosz Gali	Kofi Annan	Javier Solana	Bill Clinton	B	aLTALaNOS
7	Melyik orszag fovarosa Jerevan?	Gruzia	Kazahsztan	ormenyorszag	Azerbajdzsan	C	ORSZaGOK
8	Ki volt Nero csaszar hires neveloje?	Seneca	Cicero	Ovidius	Cato	A	ToRTeNELEM
9	Hany filmben szemelyesitette meg Rocky Balboat Sylvester Stallone?	egy	harom	ot	kilenc	C	FILM
10	Mi volt Juhasz Gyula muzsajanak, Annanak a csaladi neve?	Szarkandy	Varadi	Losonczi	Sarvari	D	IRODALOM
1	Milyen "dereknak" nevezik a nagyon karcsu noi derekat?	szunyog	bolha	darazs	kullancs	C	NYELV
2	Hany mezobol all egy sakktabla?	harminchat	negyvenkilenc	hatvannegy	nyolcvanegy	C	JaTeK
3	Melyik nem egy szogfuggveny elnevezese?	tangens	koszinusz	szinkopa	szinusz	C	TUDOMaNY
4	Mi a romai neve a kecskebak formaju, emberhez hasonlo felistennek?	fatum	farosz	faun	faust	C	VALLaS
5	Mi vagja fejbe a hajozot, ha elkapja a bum?	a kormany	egy vitorlarud	egy atcsapo hullam	a kajut ajtaja	B	aLTALaNOS
6	Melyik magyar film fohose Nyul Bela?	Hannibal tanar ur	Regi idok focija	A tanu	A harom testor Afrikaban	A	FILM
7	Melyik a csaszarmorzsa egyik alapanyaga az alabbiak kozul?	zsemlemorzsa	liszt	arpagyongy	rizs	B	KONYHA
8	Ki az a magyar sportolono, aki a II. vilaghaboru elott es utan is szerzett olimpiai aranyermet?	Keleti agnes	Gyarmati Olga	Kadarne Csak Ibolya	Elek Ilona	D	SPORT
9	Melyik evben alakult meg Izrael?	1948-ban	1954-ben	1949-ben	1946-ban	A	ToRTeNELEM
10	Az alabbiak kozul melyik nem Moricz Erdely-trilogiajanak a resze?	A nap szerelmese	Tunderkert	A nagy fejedelem	A nap arnyeka	A	IRODALOM
11	Mit neveztek az okori sumerok a "tabla hazanak"?	birosagot	iskolat	vendeglot	furdot	B	ToRTeNELEM
1	Mit kap az elutasitott kero?	tarisznyat	batyut	kosarat	iszakot	C	aLTALaNOS
2	Hogyan folytatodik Eisemann Mihaly ismert operettjenek cime? "en es a …"	nagymamam	kisocsem	keresztanyam	sogornom	B	OPERA
3	Milyen alaprajzu a pisai ferde torony?	hatszog	kor	negyzet	trapez	B	ePiTeSZET
4	Az alabbi helyszinek kozul hol talalkozhatunk egy jakkal?	a prerin	Tibetben	az Amazonasban	a deli sarkvideken	B	BIOLoGIA
5	Melyik varos szinhaza az 1776-ban alapitott Bolsoj Tyeatr?	Szentpetervar 	Moszkva	Kijev	Szofia	B	SZiNHaZ
6	Melyik allat premje a szilszkin?	nyest	menyet	foka	roka	C	BIOLoGIA
7	Mit jelent a gorog kifejezes? "Panta rhei."	Az elet veges	Minden mozdulatlan	Minden folyik	A hatalom eltorzit	C	NYELV
8	Melyik afrikai orszag korabbi neve volt Del-Rhodesia?	Namibia	Burkina Faso	Zimbabwe	Zambia	C	ORSZaGOK
9	Melyik operaban enekli Plumkett a "sordalt"?	Weber: A buvos vadasz	Lortzing: A fegyverkovacs	Beethoven: Fidelio	Flotow: Marta	D	OPERA
